"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","873.40","863.70","875.00","852.30","15.78K","1.12%"
"10/04/2022","863.70","863.80","891.00","857.80","27.52K","-0.01%"
"10/03/2022","863.80","840.80","867.20","840.80","21.05K","1.38%"
"09/29/2022","852.00","838.30","856.40","834.30","22.24K","1.61%"
"09/28/2022","838.50","828.20","840.10","818.20","20.03K","1.13%"
"09/27/2022","829.10","824.40","835.00","823.90","12.33K","0.38%"
"09/26/2022","826.00","818.70","828.40","809.00","15.22K","0.89%"
"09/23/2022","818.70","816.10","821.80","805.10","14.83K","-0.11%"
"09/22/2022","819.60","800.90","820.00","795.00","14.05K","2.17%"
"09/21/2022","802.20","786.40","806.40","786.20","25.75K","2.11%"
"09/20/2022","785.60","783.00","800.60","775.50","29.58K","-0.13%"
"09/19/2022","786.60","788.00","794.80","777.80","10.17K","-0.74%"
"09/16/2022","792.50","785.30","798.60","777.50","12.59K","0.52%"
"09/15/2022","788.40","795.60","807.60","783.40","13.76K","-1.17%"
"09/14/2022","797.70","799.70","809.50","788.50","13.71K","-0.46%"
"09/13/2022","801.40","799.90","816.60","797.10","13.07K","0.21%"
"09/12/2022","799.70","769.80","802.00","768.60","22.24K","3.70%"
"09/09/2022","771.20","768.10","780.60","766.90","10.99K","-1.95%"
"09/07/2022","786.50","797.60","809.50","786.00","24.50K","-1.52%"
"09/06/2022","798.60","811.10","815.60","794.00","21.47K","-2.26%"
"09/02/2022","817.10","810.00","821.60","808.00","12.74K","0.63%"
"09/01/2022","812.00","830.20","834.50","809.00","14.90K","-2.80%"
"08/31/2022","835.40","844.10","846.80","825.80","11.20K","-1.00%"
"08/30/2022","843.80","835.00","848.70","818.00","11.03K","0.63%"
"08/29/2022","838.50","849.70","851.00","833.20","11.17K","-2.02%"
"08/26/2022","855.80","826.10","857.00","826.10","9.34K","2.65%"
"08/25/2022","833.70","841.20","846.20","823.80","10.39K","-1.17%"
"08/24/2022","843.60","849.60","857.20","835.00","14.32K","-0.80%"
"08/23/2022","850.40","845.00","856.00","830.70","12.94K","0.43%"
"08/22/2022","846.80","819.20","849.10","813.00","13.90K","3.47%"
"08/19/2022","818.40","811.30","823.10","798.00","12.37K","0.37%"
"08/18/2022","815.40","813.20","819.00","794.80","14.50K","-0.02%"
"08/17/2022","815.60","809.70","829.10","807.00","12.55K","0.27%"
"08/16/2022","813.40","834.00","839.70","808.00","12.59K","-2.75%"
"08/15/2022","836.40","858.90","858.90","829.00","12.96K","-3.08%"
"08/12/2022","863.00","862.50","879.50","845.00","12.58K","-0.45%"
"08/11/2022","866.90","849.10","868.20","848.00","12.91K","1.27%"
"08/10/2022","856.00","854.00","863.80","840.40","11.76K","0.25%"
"08/09/2022","853.90","846.10","856.70","843.20","9.37K","0.81%"
"08/08/2022","847.00","849.90","863.40","842.00","11.11K","-0.38%"
"08/05/2022","850.20","843.30","854.40","830.00","10.23K","0.82%"
"08/04/2022","843.30","819.50","845.30","804.10","11.33K","2.60%"
"08/03/2022","821.90","837.30","857.10","802.10","15.28K","-3.12%"
"08/02/2022","848.40","870.00","870.00","825.10","17.20K","-4.97%"
"07/29/2022","892.80","863.00","895.30","856.30","17.62K","3.38%"
"07/28/2022","863.60","824.00","865.20","821.00","17.18K","4.75%"
"07/27/2022","824.40","809.00","825.00","805.60","12.44K","1.30%"
"07/26/2022","813.80","794.00","815.00","790.80","10.95K","2.35%"
"07/25/2022","795.10","804.30","809.40","785.00","13.60K","-0.91%"
"07/22/2022","802.40","790.60","812.40","779.00","10.89K","1.15%"
"07/21/2022","793.30","815.00","819.00","790.00","13.01K","-2.92%"
"07/20/2022","817.20","835.20","842.90","810.10","12.97K","-2.60%"
"07/19/2022","839.00","855.80","856.70","828.00","10.06K","-1.96%"
"07/18/2022","855.80","842.10","861.60","833.20","10.41K","1.47%"
"07/15/2022","843.40","844.10","854.40","831.70","11.07K","-5.82%"
"07/14/2022","895.50","895.50","895.50","895.50","","1.55%"
"07/13/2022","881.80","881.80","881.80","881.80","","-0.51%"
"07/12/2022","886.30","886.30","886.30","886.30","","-3.52%"
"07/11/2022","918.60","918.60","918.60","918.60","","3.20%"
"07/08/2022","890.10","890.10","890.10","890.10","","0.68%"
"07/07/2022","884.10","884.10","884.10","884.10","","2.77%"
"07/06/2022","860.30","860.30","860.30","860.30","","-0.38%"
"07/05/2022","863.60","863.60","863.60","863.60","","-2.06%"
"07/04/2022","881.80","881.80","881.80","881.80","","-3.42%"
"06/30/2022","913.00","928.30","936.70","928.30","0.03K","1.55%"
"06/29/2022","899.10","894.80","911.50","894.80","0.19K","0.31%"
"06/28/2022","896.30","915.90","919.80","885.70","1.66K","-0.53%"
"06/27/2022","901.10","882.50","910.20","875.40","2.50K","2.11%"
"06/24/2022","882.50","869.10","893.70","849.90","5.17K","0.26%"
"06/23/2022","880.20","950.90","957.00","876.90","4.52K","-7.53%"
"06/22/2022","951.90","1,001.90","1,002.80","950.10","4.37K","-5.01%"
"06/21/2022","1,002.10","1,014.40","1,016.40","992.70","3.25K","-1.88%"
"06/20/2022","1,021.30","1,025.00","1,042.80","1,007.30","1.75K","-2.53%"
"06/17/2022","1,047.80","1,071.20","1,072.20","1,045.50","4.71K","-2.39%"
"06/16/2022","1,073.50","1,083.60","1,084.50","1,067.90","4.09K","-0.93%"
"06/15/2022","1,083.60","1,091.30","1,094.70","1,073.00","6.31K","-1.16%"
"06/14/2022","1,096.30","1,086.70","1,104.50","1,079.60","5.83K","0.84%"
"06/13/2022","1,087.20","1,104.30","1,110.80","1,084.80","4.43K","-1.53%"
"06/10/2022","1,104.10","1,114.50","1,114.50","1,099.00","4.32K","-1.33%"
"06/09/2022","1,119.00","1,123.00","1,123.00","1,089.50","5.30K","-0.36%"
"06/08/2022","1,123.00","1,113.20","1,127.40","1,107.00","3.98K","0.89%"
"06/07/2022","1,113.10","1,123.60","1,143.40","1,105.40","6.29K","-0.94%"
"06/06/2022","1,123.70","1,115.10","1,128.50","1,109.70","5.50K","1.34%"
"06/03/2022","1,108.80","1,137.30","1,139.60","1,102.00","7.87K","-2.90%"
"06/02/2022","1,141.90","1,156.50","1,161.20","1,134.00","5.48K","-0.99%"
"06/01/2022","1,153.30","1,182.30","1,184.50","1,153.00","8.89K","-2.62%"
"05/31/2022","1,184.30","1,181.20","1,194.50","1,171.60","7.64K","-0.16%"
"05/30/2022","1,186.20","1,187.60","1,190.90","1,170.00","1.33K","-0.13%"
"05/27/2022","1,187.80","1,179.00","1,192.30","1,173.20","2.87K","0.75%"
"05/26/2022","1,179.00","1,150.10","1,183.40","1,143.60","5.47K","2.20%"
"05/25/2022","1,153.60","1,181.00","1,184.20","1,144.20","6.45K","-2.72%"
"05/24/2022","1,185.90","1,164.40","1,190.90","1,164.40","5.40K","1.25%"
"05/20/2022","1,171.30","1,149.00","1,200.20","1,142.90","5.49K","1.85%"
"05/19/2022","1,150.00","1,152.10","1,163.90","1,126.00","6.71K","-0.18%"
