"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","2,036.50","1,955.00","1,945.00","1,947.00","24.79K","5.16%"
"10/04/2022","1,936.50","1,878.00","1,876.00","1,876.00","15.24K","4.03%"
"10/03/2022","1,861.50","1,870.00","1,868.00","1,868.00","13.05K","-2.44%"
"09/30/2022","1,908.00","1,890.00","1,886.00","1,887.00","11.92K","1.71%"
"09/29/2022","1,876.00","1,867.00","1,865.00","1,867.00","16.94K","2.15%"
"09/28/2022","1,836.50","1,780.00","1,775.00","1,776.00","22.60K","5.03%"
"09/27/2022","1,748.50","1,770.00","1,767.00","1,767.00","12.94K","-0.34%"
"09/26/2022","1,754.50","1,790.00","1,788.00","1,790.00","17.50K","-2.74%"
"09/23/2022","1,804.00","1,825.00","1,824.50","1,825.00","12.31K","-2.57%"
"09/22/2022","1,851.50","1,890.00","1,887.00","1,889.00","11.59K","0.79%"
"09/21/2022","1,837.00","1,870.00","1,869.00","1,870.00","14.32K","-2.31%"
"09/20/2022","1,880.50","1,900.00","1,897.00","1,898.00","8.48K","-0.21%"
"09/19/2022","1,884.50","1,897.00","1,893.00","1,895.00","6.63K","-0.24%"
"09/16/2022","1,889.00","1,900.00","1,899.00","1,900.00","6.63K","-1.43%"
"09/15/2022","1,916.50","1,945.00","1,940.00","1,942.00","6.21K","-2.34%"
"09/14/2022","1,962.50","1,940.00","1,935.00","1,937.00","7.92K","0.51%"
"09/13/2022","1,952.50","1,965.00","1,963.00","1,965.00","10.47K","0.18%"
"09/12/2022","1,949.00","1,940.00","1,933.00","1,933.00","7.47K","1.67%"
"09/09/2022","1,917.00","1,925.00","1,924.00","1,924.00","8.99K","0.79%"
"09/07/2022","1,902.00","1,892.00","1,890.00","1,891.00","7.88K","0.48%"
"09/06/2022","1,893.00","1,897.00","1,896.50","1,897.00","9.73K","0.93%"
"09/05/2022","1,875.50","1,886.00","1,885.00","1,886.00","6.05K","-0.69%"
"09/02/2022","1,888.50","1,890.00","1,885.00","1,885.00","11.70K","-0.66%"
"09/01/2022","1,901.00","1,922.00","1,916.00","1,916.00","12.30K","-2.51%"
"08/31/2022","1,950.00","1,953.00","1,948.00","1,950.00","13.58K","-1.89%"
"08/30/2022","1,987.50","1,985.00","1,980.00","1,980.00","9.00K","0.10%"
"08/26/2022","1,985.50","1,997.00","1,996.00","1,997.00","12.62K","0.48%"
"08/25/2022","1,976.00","1,999.00","1,997.00","1,999.00","10.07K","0.15%"
"08/24/2022","1,973.00","1,965.00","1,959.00","1,960.00","14.27K","-0.15%"
"08/23/2022","1,976.00","2,005.00","2,005.00","2,005.00","14.19K","-1.86%"
"08/22/2022","2,013.50","2,038.00","2,038.00","2,026.00","10.25K","-1.40%"
"08/19/2022","2,042.00","2,069.00","2,067.00","2,069.00","9.86K","-1.47%"
"08/18/2022","2,072.50","2,140.00","2,136.00","2,136.00","9.49K","-2.13%"
"08/17/2022","2,117.50","2,154.00","2,153.00","2,154.00","7.62K","-2.13%"
"08/16/2022","2,163.50","2,194.00","2,192.00","2,194.00","15.86K","-0.67%"
"08/15/2022","2,178.00","2,164.00","2,162.00","2,164.00","10.71K","-0.27%"
"08/12/2022","2,184.00","2,169.00","2,167.00","2,169.00","8.68K","-0.68%"
"08/11/2022","2,199.00","2,185.00","2,178.50","2,178.00","11.43K","1.17%"
"08/10/2022","2,173.50","2,160.00","2,159.00","2,158.50","9.20K","0.37%"
"08/09/2022","2,165.50","2,165.00","2,161.00","2,163.00","14.39K","0.12%"
"08/08/2022","2,163.00","2,122.00","2,120.00","2,122.00","21.42K","4.49%"
"08/05/2022","2,070.00","2,074.50","2,075.00","2,074.50","10.82K","1.20%"
"08/04/2022","2,045.50","2,019.50","2,018.50","2,019.50","7.15K","1.01%"
"08/03/2022","2,025.00","2,025.00","2,024.00","2,024.50","7.56K","-1.22%"
"08/02/2022","2,050.00","2,050.00","2,043.00","2,045.00","7.68K","-0.19%"
"08/01/2022","2,054.00","2,055.00","2,059.50","2,055.00","9.94K","0.96%"
"07/29/2022","2,034.50","2,022.00","2,022.00","2,022.00","10.77K","1.88%"
"07/28/2022","1,997.00","2,014.00","2,005.50","2,006.00","11.30K","-0.79%"
"07/27/2022","2,013.00","2,013.00","2,014.00","2,013.00","6.86K","-0.49%"
"07/26/2022","2,023.00","2,012.00","2,009.00","2,010.00","8.26K","0.95%"
"07/25/2022","2,004.00","2,020.00","2,019.50","2,015.50","4.94K","-0.67%"
"07/22/2022","2,017.50","2,001.00","1,999.00","2,001.00","6.42K","0.27%"
"07/21/2022","2,012.00","1,994.00","1,992.00","1,994.00","8.77K","-1.01%"
