"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","90.80","87.90","91.00","87.53","9.87K","4.37%"
"10/04/2022","87.00","89.28","89.35","86.20","9.62K","-2.00%"
"10/03/2022","88.78","88.72","90.33","88.53","5.08K","-0.49%"
"09/30/2022","89.22","90.22","90.40","88.85","5.07K","-0.26%"
"09/29/2022","89.45","89.97","90.92","89.40","4.77K","0.08%"
"09/28/2022","89.38","89.05","89.78","88.28","8.14K","0.77%"
"09/27/2022","88.70","91.12","91.38","88.42","16.37K","-1.86%"
"09/26/2022","90.38","92.62","93.08","89.28","14.40K","-2.42%"
"09/23/2022","92.62","94.03","94.12","92.53","11.65K","-1.59%"
"09/22/2022","94.12","94.50","95.10","93.75","7.24K","-0.32%"
"09/21/2022","94.42","96.00","96.17","94.33","10.66K","-1.62%"
"09/20/2022","95.97","96.45","97.45","95.55","9.21K","-0.52%"
"09/19/2022","96.47","96.67","97.05","96.05","6.26K","-0.44%"
"09/16/2022","96.90","95.60","96.92","95.45","12.71K","0.88%"
"09/15/2022","96.05","95.47","96.83","95.33","16.54K","1.43%"
"09/14/2022","94.70","95.45","96.00","94.60","21.66K","-1.10%"
"09/13/2022","95.75","92.25","96.08","92.00","39.82K","4.21%"
"09/12/2022","91.88","92.78","93.25","91.38","25.18K","-1.38%"
"09/09/2022","93.17","91.42","93.45","91.05","29.24K","1.14%"
"09/08/2022","92.12","91.00","92.35","89.12","32.23K","1.14%"
"09/07/2022","91.08","91.75","93.22","90.83","22.70K","-0.02%"
"09/06/2022","91.10","90.03","91.25","89.58","20.63K","1.19%"
"09/04/2022","90.03","90.03","90.03","90.03","","0.00%"
"09/02/2022","90.03","91.33","91.92","89.75","22.83K","-2.09%"
"09/01/2022","91.95","91.00","92.42","90.75","16.29K","0.46%"
"08/31/2022","91.53","93.17","93.38","91.00","23.89K","-2.21%"
"08/30/2022","93.60","91.75","94.40","91.75","19.07K","1.46%"
"08/29/2022","92.25","90.65","92.45","90.40","13.35K","1.77%"
"08/26/2022","90.65","90.80","91.50","90.28","16.90K","-0.49%"
"08/25/2022","91.10","90.38","91.42","90.00","15.93K","0.80%"
"08/24/2022","90.38","91.97","92.50","90.25","24.18K","-2.71%"
"08/23/2022","92.90","94.38","96.97","92.58","23.16K","-1.14%"
"08/22/2022","93.97","92.75","95.00","92.12","17.31K","0.91%"
"08/19/2022","93.12","93.33","94.00","91.90","21.78K","-0.19%"
"08/18/2022","93.30","97.47","97.53","93.30","25.41K","-4.84%"
"08/17/2022","98.05","97.00","98.45","95.58","21.99K","1.52%"
"08/16/2022","96.58","100.50","101.17","96.30","26.12K","-3.98%"
"08/15/2022","100.58","99.83","100.83","98.62","15.99K","-17.37%"
"08/12/2022","121.72","122.20","122.35","121.67","2.00K","-0.56%"
"08/11/2022","122.40","122.40","122.53","122.22","2.75K","0.12%"
"08/10/2022","122.25","122.40","122.47","122.10","3.15K","0.04%"
"08/09/2022","122.20","121.67","122.30","121.25","4.37K","0.33%"
"08/08/2022","121.80","121.00","121.97","120.47","4.08K","0.80%"
"08/05/2022","120.83","120.80","120.95","120.22","4.27K","0.15%"
"08/04/2022","120.65","120.47","121.35","120.05","8.18K","-0.29%"
"08/03/2022","121.00","120.85","121.70","120.55","6.60K","0.96%"
"08/02/2022","119.85","120.67","120.70","119.62","5.61K","-0.50%"
"08/01/2022","120.45","120.00","120.58","119.35","4.94K","-0.17%"
"07/29/2022","120.65","118.97","120.90","118.83","6.94K","1.28%"
