"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","1,182.25","1,107.75","1,185.75","1,095.75","32.97K","7.16%"
"10/04/2022","1,103.25","1,037.00","1,110.00","1,035.25","38.81K","6.98%"
"10/03/2022","1,031.25","1,002.50","1,040.00","1,002.50","25.87K","3.83%"
"09/30/2022","993.25","1,005.25","1,005.50","977.00","28.06K","-1.83%"
"09/29/2022","1,011.75","1,021.00","1,035.00","999.50","22.89K","0.30%"
"09/28/2022","1,008.75","962.50","1,024.75","942.50","31.72K","4.29%"
"09/27/2022","967.25","921.50","972.50","921.50","29.29K","3.53%"
"09/26/2022","934.25","961.50","963.25","915.00","27.82K","-2.99%"
"09/23/2022","963.00","1,000.50","1,002.25","946.00","36.63K","-4.30%"
"09/22/2022","1,006.25","979.75","1,018.50","973.00","47.81K","4.03%"
"09/21/2022","967.25","983.50","1,032.50","960.75","67.67K","-0.92%"
"09/20/2022","976.25","980.00","993.50","966.50","53.39K","1.38%"
"09/19/2022","963.00","944.50","979.00","924.25","39.35K","1.05%"
"09/16/2022","953.00","935.00","964.50","923.50","67.00K","3.22%"
"09/15/2022","923.25","993.25","996.00","911.00","92.72K","-6.88%"
"09/14/2022","991.50","1,057.25","1,059.75","973.00","109.80K","-6.24%"
"09/13/2022","1,057.50","1,072.75","1,089.00","1,038.25","56.32K","-2.53%"
"09/12/2022","1,085.00","1,075.00","1,094.00","1,069.50","2.49K","0.00%"
"09/09/2022","1,085.00","1,079.25","1,093.00","1,065.00","22.74K","0.72%"
"09/08/2022","1,077.25","1,085.38","1,094.62","1,064.88","","-2.02%"
"09/07/2022","1,099.50","1,086.25","1,104.50","1,061.75","19.96K","1.88%"
"09/06/2022","1,079.25","1,128.00","1,134.75","1,073.50","21.47K","-5.49%"
"09/05/2022","1,142.00","1,104.00","1,152.00","1,104.00","19.89K","4.65%"
"09/02/2022","1,091.25","1,081.75","1,116.25","1,055.75","22.54K","3.88%"
"09/01/2022","1,050.50","1,090.50","1,094.50","1,023.00","30.57K","-4.37%"
"08/31/2022","1,098.50","1,142.50","1,153.75","1,083.75","23.69K","-2.09%"
"08/30/2022","1,122.00","1,167.50","1,183.00","1,112.75","26.26K","-5.42%"
"08/29/2022","1,186.25","1,183.75","1,190.00","1,151.75","15.60K","-0.65%"
"08/26/2022","1,194.00","1,163.75","1,197.00","1,163.75","24.22K","1.70%"
"08/25/2022","1,174.00","1,186.50","1,207.00","1,155.50","37.89K","0.54%"
"08/24/2022","1,167.75","1,130.00","1,190.00","1,123.00","35.89K","4.36%"
"08/23/2022","1,119.00","1,108.00","1,139.00","1,102.00","30.88K","2.03%"
"08/22/2022","1,096.75","1,097.25","1,114.25","1,069.25","34.94K","0.87%"
"08/19/2022","1,087.25","1,071.50","1,100.50","1,048.00","39.62K","1.21%"
"08/18/2022","1,074.25","1,063.75","1,083.75","1,050.75","46.15K","3.14%"
