"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","22,588.00","22,400.00","22,200.00","22,250.00","4.12K","2.42%"
"10/04/2022","22,055.00","21,480.00","21,365.00","21,385.00","5.04K","3.75%"
"10/03/2022","21,258.00","21,750.00","21,575.00","21,600.00","6.26K","0.72%"
"09/30/2022","21,107.00","22,350.00","22,300.00","22,300.00","5.85K","-5.55%"
"09/29/2022","22,348.00","22,900.00","22,700.00","22,705.00","8.04K","2.49%"
"09/28/2022","21,805.00","21,400.00","21,250.00","21,255.00","8.31K","-0.24%"
"09/27/2022","21,858.00","22,100.00","22,000.00","22,000.00","8.93K","-1.57%"
"09/26/2022","22,206.00","22,400.00","22,315.00","22,325.00","8.23K","-5.15%"
"09/23/2022","23,411.00","23,350.00","23,250.00","23,250.00","4.58K","-4.69%"
"09/22/2022","24,562.00","24,800.00","24,555.00","24,560.00","5.07K","-1.55%"
"09/21/2022","24,949.00","25,000.00","24,900.00","24,900.00","11.90K","-0.06%"
"09/20/2022","24,964.00","24,850.00","24,800.00","24,825.00","3.92K","1.50%"
"09/19/2022","24,594.00","24,800.00","24,790.00","24,800.00","6.17K","1.42%"
"09/16/2022","24,249.00","23,600.00","23,400.00","23,405.00","6.17K","4.85%"
"09/15/2022","23,127.00","23,400.00","23,365.00","23,400.00","6.27K","-4.50%"
"09/14/2022","24,217.00","23,760.00","23,755.00","23,760.00","7.04K","-0.26%"
"09/13/2022","24,281.00","24,800.00","24,700.00","24,750.00","12.22K","-1.20%"
"09/12/2022","24,577.00","23,500.00","23,290.00","23,320.00","8.90K","6.88%"
"09/09/2022","22,994.00","22,500.00","22,250.00","22,300.00","6.78K","5.13%"
"09/08/2022","21,871.00","21,718.50","21,887.50","21,290.50","","1.35%"
"09/07/2022","21,580.00","21,550.00","21,425.00","21,450.00","4.93K","0.03%"
"09/06/2022","21,574.00","21,450.00","21,400.00","21,450.00","4.77K","0.54%"
"09/05/2022","21,458.00","21,150.00","21,075.00","21,080.00","6.18K","4.53%"
"09/02/2022","20,529.00","20,300.00","20,150.00","20,155.00","4.77K","1.07%"
"09/01/2022","20,311.00","20,580.00","20,575.00","20,580.00","7.37K","-5.14%"
"08/31/2022","21,411.00","21,450.00","21,310.00","21,320.00","5.75K","0.20%"
"08/30/2022","21,369.00","21,500.00","21,425.00","21,400.00","8.67K","-1.22%"
"08/26/2022","21,633.00","21,700.00","21,550.00","21,550.00","4.06K","-0.20%"
"08/25/2022","21,677.00","21,500.00","21,360.00","21,400.00","7.81K","1.51%"
"08/24/2022","21,354.00","21,600.00","21,500.00","21,550.00","5.30K","-1.80%"
"08/23/2022","21,745.00","21,855.00","21,850.00","21,855.00","4.41K","-2.68%"
"08/22/2022","22,343.00","22,100.00","21,905.00","21,910.00","4.32K","0.38%"
"08/19/2022","22,258.00","21,800.00","21,640.00","21,650.00","3.69K","2.19%"
"08/18/2022","21,780.00","21,855.00","21,850.00","21,855.00","4.85K","-0.48%"
"08/17/2022","21,885.00","22,250.00","22,050.00","22,075.00","3.26K","-1.57%"
"08/16/2022","22,235.00","22,550.00","22,515.00","22,525.00","5.94K","1.01%"
"08/15/2022","22,013.00","22,060.00","21,850.00","21,900.00","4.05K","-4.44%"
"08/12/2022","23,036.00","23,500.00","23,450.00","23,500.00","3.76K","-2.63%"
"08/11/2022","23,659.00","23,350.00","23,200.00","23,225.00","4.12K","5.20%"
"08/10/2022","22,490.00","21,550.00","21,400.00","21,425.00","4.97K","4.31%"
"08/09/2022","21,561.00","21,500.00","21,450.00","21,450.00","4.31K","-0.57%"
"08/08/2022","21,685.00","21,900.00","21,800.00","21,800.00","4.68K","-2.39%"
"08/05/2022","22,216.00","22,300.00","22,210.00","22,210.00","5.69K","0.03%"
"08/04/2022","22,210.00","22,250.00","22,050.00","22,100.00","4.06K","-0.55%"
