"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","190.95","197.95","198.95","189.15","1.06K","-4.02%"
"10/04/2022","198.95","199.95","202.15","196.50","0.57K","0.35%"
"10/03/2022","198.25","194.75","201.40","193.05","0.91K","3.58%"
"09/30/2022","191.40","191.10","194.70","189.60","0.73K","0.50%"
"09/29/2022","190.45","188.55","195.30","186.85","1.06K","1.14%"
"09/28/2022","188.30","185.00","192.25","185.00","1.10K","3.32%"
"09/27/2022","182.25","180.10","184.00","179.65","0.56K","2.10%"
"09/26/2022","178.50","184.80","184.90","175.25","0.76K","-2.99%"
"09/23/2022","184.00","182.00","184.50","181.85","0.90K","1.57%"
"09/22/2022","181.15","178.70","182.35","178.55","0.56K","1.09%"
"09/21/2022","179.20","180.25","180.90","178.55","0.46K","-0.61%"
"09/20/2022","180.30","177.45","180.65","177.20","0.59K","2.15%"
"09/19/2022","176.50","173.20","179.00","172.95","0.62K","1.82%"
"09/16/2022","173.35","170.40","174.00","169.50","0.55K","2.24%"
"09/15/2022","169.55","167.30","171.05","167.30","0.51K","1.31%"
"09/14/2022","167.35","167.95","169.05","167.00","0.51K","-0.59%"
"09/13/2022","168.35","172.20","172.20","167.25","0.42K","-7.01%"
"09/12/2022","181.05","171.77","172.50","170.68","","0.47%"
"09/09/2022","180.20","168.58","171.58","168.58","","7.45%"
"09/08/2022","167.70","165.10","173.07","164.93","","-4.66%"
"09/07/2022","175.90","168.30","169.03","164.43","","-1.46%"
"09/06/2022","178.50","178.80","178.80","178.80","0.00K","-3.70%"
"09/02/2022","185.35","180.48","181.67","171.93","","-3.96%"
"09/01/2022","193.00","198.65","198.65","193.00","0.03K","-2.80%"
"08/31/2022","198.55","177.58","185.65","177.58","","5.25%"
"08/30/2022","188.65","179.00","189.55","179.00","0.23K","5.07%"
"08/29/2022","179.55","176.10","180.15","174.05","0.27K","2.84%"
"08/26/2022","174.60","171.00","176.45","170.60","0.32K","3.04%"
"08/25/2022","169.45","170.30","171.00","167.05","0.73K","0.50%"
"08/24/2022","168.60","169.80","170.35","166.90","0.58K","-0.79%"
"08/23/2022","169.95","168.40","171.75","167.80","0.79K","0.65%"
"08/22/2022","168.85","169.55","171.10","168.10","0.95K","-0.53%"
"08/19/2022","169.75","167.70","173.10","167.70","1.09K","1.13%"
"08/18/2022","167.85","170.00","170.00","167.00","0.75K","-1.35%"
"08/17/2022","170.15","174.85","175.55","170.10","1.32K","-2.88%"
"08/16/2022","175.20","175.55","176.65","173.80","0.98K","-0.54%"
"08/15/2022","176.15","180.70","180.70","175.40","0.63K","-2.71%"
"08/12/2022","181.05","182.15","182.70","180.65","0.38K","-0.60%"
"08/11/2022","182.15","180.00","182.45","178.60","0.52K","0.61%"
"08/10/2022","181.05","177.00","181.90","177.00","0.49K","2.23%"
"08/09/2022","177.10","175.95","179.05","173.20","0.62K","0.37%"
"08/08/2022","176.45","182.20","184.30","175.35","1.15K","-3.50%"
"08/05/2022","182.85","178.45","183.00","178.45","0.54K","1.89%"
"08/04/2022","179.45","178.00","183.15","177.15","0.83K","1.59%"
"08/03/2022","176.65","171.60","177.70","171.40","1.10K","2.76%"
"08/02/2022","171.90","169.90","172.40","169.90","0.50K","1.06%"
"08/01/2022","170.10","171.70","172.30","167.65","0.74K","-1.10%"
"07/29/2022","172.00","170.00","172.85","169.20","0.97K","1.62%"
"07/28/2022","169.25","166.35","169.50","164.00","1.02K","1.53%"
"07/27/2022","166.70","159.00","167.45","158.70","1.32K","5.84%"
"07/26/2022","157.50","152.50","161.75","152.00","0.87K","3.79%"
"07/25/2022","151.75","152.95","154.50","151.40","0.44K","-0.72%"
"07/22/2022","152.85","153.40","157.05","152.20","0.58K","-0.36%"
"07/21/2022","153.40","154.70","154.85","153.20","0.32K","-0.84%"
"07/20/2022","154.70","155.55","156.00","152.80","0.49K","-1.68%"
"07/19/2022","157.35","152.00","158.55","151.85","0.63K","3.59%"
"07/18/2022","151.90","150.80","155.20","150.75","0.57K","0.83%"
"07/15/2022","150.65","152.00","153.30","150.50","0.70K","-0.76%"
"07/14/2022","151.80","151.90","154.35","151.30","0.95K","-0.33%"
"07/13/2022","152.30","155.90","157.40","152.00","1.44K","-2.62%"
"07/12/2022","156.40","162.25","163.50","155.80","1.65K","-10.73%"
"07/11/2022","175.20","162.78","167.83","161.02","","0.17%"
"07/08/2022","174.90","162.30","165.30","161.65","0.37K","7.76%"
"07/07/2022","162.30","163.00","163.40","161.50","0.40K","-0.25%"
"07/06/2022","162.70","163.55","165.75","162.50","0.39K","-0.15%"
"07/05/2022","162.95","167.00","167.75","162.70","0.60K","-7.99%"
"07/01/2022","177.10","173.75","174.00","167.25","0.56K","2.34%"
"06/30/2022","173.05","170.60","174.85","168.75","0.51K","0.90%"
"06/29/2022","171.50","172.45","172.45","169.50","0.45K","-3.54%"
"06/28/2022","177.80","172.00","178.15","170.95","0.29K","5.74%"
"06/27/2022","168.15","165.95","169.30","165.05","0.30K","2.44%"
"06/24/2022","164.15","166.75","167.45","163.60","0.31K","-1.23%"
"06/23/2022","166.20","170.05","170.40","166.05","0.84K","-1.89%"
"06/22/2022","169.40","170.50","173.40","168.85","1.13K","-0.82%"
"06/21/2022","170.80","172.90","172.90","170.45","0.86K","-1.13%"
"06/17/2022","172.75","175.50","176.55","172.10","1.43K","-1.57%"
"06/16/2022","175.50","176.95","177.50","174.85","1.07K","-1.24%"
"06/15/2022","177.70","178.50","182.00","177.10","1.11K","-0.25%"
"06/14/2022","178.15","179.10","180.55","178.00","0.57K","-0.92%"
"06/13/2022","179.80","184.40","184.85","179.35","1.35K","-2.84%"
"06/10/2022","185.05","185.40","187.40","184.40","0.43K","0.35%"
"06/09/2022","184.40","188.70","193.30","184.15","1.06K","-3.63%"
"06/08/2022","191.35","183.40","193.50","182.15","1.24K","4.19%"
"06/07/2022","183.65","180.80","184.60","179.80","0.59K","1.32%"
"06/06/2022","181.25","180.60","182.35","178.85","0.46K","0.30%"
"06/03/2022","180.70","180.55","183.30","179.85","0.70K","0.25%"
"06/02/2022","180.25","181.00","181.30","178.55","0.46K","-0.06%"
"06/01/2022","180.35","177.30","182.70","177.00","0.92K","1.69%"
"05/31/2022","177.35","181.80","183.45","176.65","0.81K","-3.11%"
"05/27/2022","183.05","183.80","186.45","180.30","0.55K","-0.19%"
"05/26/2022","183.40","174.65","184.40","174.50","1.09K","5.16%"
