"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","16.970","16.960","17.045","16.905","0.61K","0.03%"
"10/04/2022","16.965","16.930","17.025","16.910","0.72K","0.18%"
"10/03/2022","16.935","17.155","17.250","16.920","1.10K","-1.37%"
"09/30/2022","17.170","17.325","17.420","17.160","0.55K","-1.04%"
"09/29/2022","17.350","17.395","17.470","17.315","0.37K","-0.06%"
"09/28/2022","17.360","17.305","17.380","17.270","0.26K","0.26%"
"09/27/2022","17.315","17.350","17.550","17.265","0.31K","-0.20%"
"09/26/2022","17.350","17.375","17.390","17.190","0.55K","-0.17%"
"09/23/2022","17.380","17.395","17.420","17.360","0.41K","-0.03%"
"09/22/2022","17.385","17.605","17.620","17.325","0.39K","-1.36%"
"09/21/2022","17.625","17.720","17.780","17.540","0.26K","-0.56%"
"09/20/2022","17.725","17.615","17.795","17.615","0.19K","0.51%"
"09/19/2022","17.635","17.790","17.815","17.575","0.25K","-1.07%"
"09/16/2022","17.825","17.790","17.875","17.650","0.33K","0.03%"
"09/15/2022","17.820","17.715","17.945","17.630","0.39K","1.54%"
"09/14/2022","17.550","17.785","17.890","17.670","0.04K","0.17%"
"09/13/2022","17.520","17.495","17.500","17.495","0.01K","0.52%"
"09/12/2022","17.430","17.585","17.760","17.390","0.01K","0.64%"
"09/09/2022","17.320","17.195","17.670","17.195","","0.46%"
"09/08/2022","17.240","17.085","17.270","17.000","","2.74%"
"09/07/2022","16.780","17.230","17.230","16.970","","-0.42%"
"09/06/2022","16.850","17.600","17.815","17.080","0.00K","-3.05%"
"09/02/2022","17.380","17.635","17.940","17.635","0.02K","-0.03%"
"09/01/2022","17.385","17.870","17.950","17.585","0.05K","-0.69%"
"08/31/2022","17.505","17.500","17.590","17.440","0.05K","0.43%"
"08/30/2022","17.430","17.200","17.485","17.200","0.45K","0.87%"
"08/29/2022","17.280","17.240","17.305","16.850","0.62K","-0.20%"
"08/26/2022","17.315","17.125","17.325","17.125","0.39K","0.90%"
"08/25/2022","17.160","17.245","17.315","17.065","0.58K","-0.49%"
"08/24/2022","17.245","17.190","17.475","17.190","0.99K","-0.26%"
"08/23/2022","17.290","17.140","17.330","17.140","1.21K","0.96%"
"08/22/2022","17.125","16.990","17.225","16.990","0.73K","0.23%"
"08/19/2022","17.085","16.585","17.140","16.585","0.89K","3.20%"
"08/18/2022","16.555","16.660","16.690","16.495","1.89K","-0.66%"
