"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","20.544","21.120","21.135","19.985","80.04K","-2.63%"
"10/04/2022","21.099","20.745","21.310","20.680","73.44K","2.48%"
"10/03/2022","20.589","18.995","20.780","18.980","98.66K","8.14%"
"09/30/2022","19.039","18.810","19.300","18.745","53.86K","1.75%"
"09/29/2022","18.712","18.910","18.915","18.465","59.25K","-0.45%"
"09/28/2022","18.796","18.475","18.735","18.470","0.03K","2.70%"
"09/27/2022","18.302","18.380","18.740","18.305","0.20K","-0.82%"
"09/26/2022","18.453","18.525","18.935","18.305","0.09K","-1.66%"
"09/25/2022","18.765","18.837","18.875","18.695","","-0.61%"
"09/23/2022","18.881","19.210","19.210","18.770","0.06K","-3.60%"
"09/22/2022","19.587","19.235","19.665","19.235","0.13K","0.72%"
"09/21/2022","19.447","19.660","19.855","19.660","0.02K","1.57%"
"09/20/2022","19.146","19.525","19.525","19.150","0.06K","-0.90%"
"09/19/2022","19.319","19.555","19.555","19.345","0.02K","-1.66%"
"09/18/2022","19.645","19.637","19.690","19.555","","1.57%"
"09/16/2022","19.341","19.005","19.520","18.940","0.01K","0.59%"
"09/15/2022","19.227","19.410","19.430","19.350","0.01K","-1.53%"
"09/14/2022","19.525","19.265","19.545","19.225","0.02K","0.39%"
"09/13/2022","19.449","19.410","19.520","19.270","0.03K","-1.85%"
"09/12/2022","19.816","18.810","19.850","18.810","0.02K","4.93%"
"09/11/2022","18.885","18.793","18.960","18.793","","0.85%"
"09/09/2022","18.725","18.730","18.730","18.660","0.03K","1.76%"
"09/08/2022","18.402","18.325","18.440","18.325","0.00K","1.00%"
"09/07/2022","18.220","17.820","17.860","17.820","0.01K","1.97%"
"09/06/2022","17.868","17.845","17.930","17.845","0.02K","-1.21%"
"09/05/2022","18.087","17.823","18.117","17.820","","1.52%"
"09/04/2022","17.817","17.880","17.938","17.817","","-0.20%"
"09/02/2022","17.852","17.645","17.955","17.645","0.00K","1.25%"
"09/01/2022","17.632","17.700","17.700","17.700","0.00K","-1.22%"
"08/31/2022","17.849","17.960","17.960","17.960","0.00K","-2.17%"
"08/30/2022","18.244","18.244","18.244","18.244","5.84K","-1.92%"
"08/29/2022","18.602","18.750","18.750","18.350","0.58K","0.11%"
"08/28/2022","18.582","18.730","18.742","18.575","","-1.12%"
"08/26/2022","18.792","19.125","19.360","18.745","0.47K","-1.85%"
"08/25/2022","19.147","19.155","19.295","18.990","0.63K","1.08%"
"08/24/2022","18.942","19.045","19.100","18.870","0.22K","-0.64%"
