"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","91.23","88.26","90.52","83.20","25.91K","-5.11%"
"10/04/2022","96.14","84.37","88.20","84.31","20.44K","14.18%"
"10/03/2022","84.20","85.39","86.18","82.70","20.23K","-1.34%"
"09/30/2022","85.34","85.46","85.95","83.60","19.86K","0.21%"
"09/29/2022","85.16","88.50","88.93","85.00","20.65K","-3.76%"
"09/28/2022","88.49","88.71","89.34","85.70","20.18K","0.45%"
"09/27/2022","88.09","88.75","91.85","87.55","19.31K","-0.32%"
"09/26/2022","88.37","92.50","93.74","88.24","24.26K","-4.51%"
"09/23/2022","92.54","96.30","96.50","92.54","10.11K","-4.14%"
"09/22/2022","96.54","96.44","97.77","95.03","12.77K","-0.39%"
"09/21/2022","96.92","93.24","97.33","92.38","22.19K","3.85%"
"09/20/2022","93.33","96.05","96.54","93.12","19.94K","-2.82%"
"09/19/2022","96.04","99.10","99.74","94.35","25.70K","-3.27%"
"09/16/2022","99.29","103.07","103.29","99.29","11.89K","-3.87%"
"09/15/2022","103.29","103.00","104.17","101.98","11.19K","0.56%"
"09/14/2022","102.71","102.73","103.25","101.61","11.09K","0.38%"
"09/13/2022","102.32","105.73","105.95","101.85","15.47K","-3.21%"
"09/12/2022","105.71","105.00","108.10","102.02","15.39K","0.83%"
"09/09/2022","104.84","104.00","105.83","103.96","12.06K","0.89%"
"09/08/2022","103.91","101.91","105.17","101.53","","2.25%"
"09/07/2022","101.62","103.40","105.39","101.19","18.29K","-1.86%"
"09/06/2022","103.55","103.30","106.00","102.83","17.85K","0.33%"
"09/02/2022","103.21","108.10","108.70","103.21","21.81K","-4.62%"
"09/01/2022","108.21","113.00","113.20","108.21","17.05K","-4.42%"
"08/31/2022","113.21","112.42","114.15","112.05","12.38K","0.79%"
"08/30/2022","112.32","116.95","117.01","112.20","18.23K","-4.13%"
"08/29/2022","117.16","117.68","118.53","115.24","11.52K","-0.44%"
"08/26/2022","117.68","114.43","118.40","114.20","12.68K","3.13%"
"08/25/2022","114.11","114.00","117.36","113.31","12.92K","0.04%"
"08/24/2022","114.07","112.57","114.75","111.21","12.03K","1.64%"
"08/23/2022","112.23","114.02","114.02","111.26","13.07K","-1.67%"
"08/22/2022","114.14","115.50","117.45","113.08","12.88K","-1.61%"
"08/19/2022","116.01","112.73","116.63","111.01","16.33K","2.94%"
"08/18/2022","112.70","113.90","114.90","111.71","14.14K","-0.74%"
"08/17/2022","113.54","116.00","118.67","111.85","28.90K","-2.83%"
"08/16/2022","116.85","117.03","119.59","114.60","48.28K","2.87%"
"08/15/2022","113.59","111.53","113.59","111.53","11.80K","4.60%"
"08/12/2022","108.59","104.57","108.59","102.73","16.93K","3.82%"
"08/11/2022","104.59","100.40","104.94","100.37","20.40K","3.62%"
"08/10/2022","100.94","99.00","102.68","97.70","18.98K","1.89%"
"08/09/2022","99.07","96.00","99.34","95.80","15.67K","3.64%"
"08/08/2022","95.59","96.04","97.40","95.14","7.74K","-0.56%"
"08/05/2022","96.13","94.22","97.52","94.22","9.54K","1.60%"
"08/04/2022","94.62","94.33","95.10","93.00","9.09K","0.20%"
"08/03/2022","94.43","94.00","95.58","93.70","9.74K","-0.40%"
"08/02/2022","94.81","94.00","95.87","91.60","13.47K","0.80%"
"08/01/2022","94.06","96.58","96.76","92.80","15.71K","-2.77%"
"07/29/2022","96.74","96.55","97.65","95.40","11.47K","0.55%"
"07/28/2022","96.21","95.25","97.40","95.25","8.59K","1.20%"
"07/27/2022","95.07","94.48","96.90","93.53","10.54K","0.62%"
"07/26/2022","94.48","91.45","94.90","90.30","13.51K","3.76%"
"07/25/2022","91.06","90.91","92.15","89.50","8.31K","0.19%"
"07/22/2022","90.89","91.70","92.80","90.15","8.92K","-0.78%"
"07/21/2022","91.60","92.74","93.80","90.10","9.30K","-1.30%"
"07/20/2022","92.81","92.75","94.85","91.16","10.11K","0.47%"
"07/19/2022","92.38","92.80","93.38","89.01","13.11K","-0.67%"
